block_date,total_eth_balance,number_of_addresses
2016-08-09,82823166.238193906,137484
2016-08-10,82855327.674868019,138077
2016-08-11,82887521.732651683,138820
2016-08-12,82919632.247451316,139159
2016-08-13,82951630.351819848,139630
2016-08-14,82983592.264641382,139658
2016-08-15,83015923.628473735,140073
2016-08-16,83047958.942507743,139429
2016-08-17,83079952.170790523,139781
2016-08-18,83112739.732504791,140225
2016-08-19,83144579.729234853,140603
2016-08-20,83176806.173440011,140597
2016-08-21,83209504.310441266,140994
2016-08-22,83241793.449317895,142203
2016-08-23,83273977.356848295,141681
2016-08-24,83306249.06025382,142080
2016-08-25,83338383.064879701,142336
2016-08-26,83370252.405324266,142764
2016-08-27,83402557.546940795,143129
2016-08-28,83434580.089320965,143348
2016-08-29,83466507.946964804,143504
2016-08-30,83498377.662469939,143934
2016-08-31,83530513.788520505,144308
2016-09-01,83562256.149074187,144157
2016-09-02,83594638.65045654,144519
2016-09-03,83626133.029659729,144832
2016-09-04,83657991.094244109,145156
2016-09-05,83690183.978709004,145475
2016-09-06,83721863.31020959,145891
2016-09-07,83754128.856544714,145743
2016-09-08,83786036.164570643,146284
2016-09-09,83818251.290992152,146404
2016-09-10,83850080.221877532,146603
2016-09-11,83882431.558132657,146818
2016-09-12,83914667.088633766,147212
2016-09-13,83946569.827667279,147512
2016-09-14,83979096.664473381,147787
2016-09-15,84011277.722765265,148115
2016-09-16,84043515.301555196,148161
2016-09-17,84075668.685309961,148357
2016-09-18,84105241.378997555,149026
2016-09-19,84139516.457342451,150960
2016-09-20,84172004.92507299,149518
2016-09-21,84204085.959297588,149171
2016-09-22,84235689.854980409,149923
2016-09-23,84269964.47199827,150521
2016-09-24,84303287.339141832,150398
2016-09-25,84337678.790815146,150588
2016-09-26,84369803.596682088,151376
2016-09-27,84405088.798892037,151655
2016-09-28,84437491.118703982,152358
2016-09-29,84469800.569383159,153764
2016-09-30,84501422.049258607,153693
2016-10-01,84535900.020673698,155360
2016-10-02,84571644.966881177,154615
2016-10-03,84604927.777435702,155274
2016-10-04,84636981.274633424,156218
2016-10-05,84670063.432241047,158084
2016-10-06,84702882.364357255,157100
2016-10-07,84739451.40274493,158503
2016-10-08,84775537.097983008,156760
2016-10-09,84808959.908940549,157145
2016-10-10,84842087.350271115,157971
2016-10-11,84874564.647686919,158192
2016-10-12,84907655.743474268,158432
2016-10-13,84942475.913760566,159063
2016-10-14,84975377.104307406,159907
2016-10-15,85007585.277542369,161820
2016-10-16,85040504.699593155,161789
2016-10-17,85072872.792394879,162386
2016-10-18,85106203.742103146,161460
2016-10-19,85139349.858034045,161866
2016-10-20,85173890.470082914,161476
2016-10-21,85206017.718799791,164020
2016-10-22,85237717.882452964,162337
2016-10-23,85269048.824350755,161106
2016-10-24,85301110.469779684,161736
2016-10-25,85332772.13882605,162238
2016-10-26,85364728.202246347,162610
2016-10-27,85396173.520426593,162965
2016-10-28,85427250.752967879,162980
2016-10-29,85456874.975532111,163007
2016-10-30,85488834.170904734,162605
2016-10-31,85520853.298140203,162686
2016-11-01,85551354.06578372,160688
2016-11-02,85582486.819516219,161887
2016-11-03,85613705.807829161,162091
2016-11-04,85644628.835570686,162203
2016-11-05,85676052.005987062,162536
2016-11-06,85707850.663389004,162564
2016-11-07,85741108.387932339,162183
2016-11-08,85773434.087866114,162732
2016-11-09,85804434.430855053,163405
2016-11-10,85835643.661927864,163675
2016-11-11,85866981.212488427,164068
2016-11-12,85898929.448780125,164368
2016-11-13,85931351.418058229,163584
2016-11-14,85963233.827855587,163915
2016-11-15,85994668.68867353,164206
2016-11-16,86026248.289892464,164450
2016-11-17,86057055.044682351,164514
2016-11-18,86090154.094180217,164827
2016-11-19,86122483.812186153,165045
2016-11-20,86154938.737482002,165320
2016-11-21,86186752.469380981,165623
2016-11-22,86217943.965970096,166403
2016-11-23,86250604.12694434,166532
2016-11-24,86283006.353129092,169108
2016-11-25,86316443.129183788,167944
2016-11-26,86348939.916275401,168507
2016-11-27,86382646.474806663,169324
